Id,Name,Passenger_mission,Expires,Faction,TargetFaction,Needed,Kills,Value,IsWing,Status,Destination,Reputation
755268945,Mission_MassacreWing_name,false,340773,Allied Oduduro Defence Party,LP 410-93 Purple Syndicate,48,0,23137630,true,Progress,LP 410-93,++
755271123,Mission_MassacreWing_name,false,341211,Allied Oduduro Defence Party,LP 410-93 Purple Syndicate,45,0,21669934,true,Progress,LP 410-93,++
755273550,Mission_MassacreWing_name,false,341608,Space Cow Truckers Ltd,LP 410-93 Purple Syndicate,45,0,21639622,true,Progress,LP 410-93,++
755273862,Mission_MassacreWing_name,false,339810,Oduduro Natural PLC,LP 410-93 Purple Syndicate,25,0,12093002,true,Progress,LP 410-93,++
